,company,job_title,salary,location,description,date
2,"

        South East Water",Insight Data Scientist,"
                            £35,000 - £40,000 a year",Nothing_found,"
 Supporting other department data teams in identifying potential usable data sets that the organisation maintains.",Nothing_found
3,"
        Project 11",Junior Data Researcher,"
                            £18,000 - £20,000 a year",Nothing_found,"
 Once you have shown a good understanding of the lead sourcing process, demonstrated sufficient ability in finding appropriate brands, you will be incorporated…",3 days ago
4,"

        Foreign & Commonwealth Office",Open Source Intelligence Analyst,"
                            £34,053 a year",Nothing_found,"
 By the time you leave us, you will have an enhanced understanding of open source techniques, data science-led approaches and behavioural science methodologies.",Nothing_found
5,"

        Natures Way Foods Ltd",Master Data Administrator,Nothing_found,Nothing_found,"
 Ensure data quality, compliance and consistency of master data across business systems.Work with business units and process experts to resolve master data…",3 days ago
6,"

        Capgemini",MDM Data Analyst,Nothing_found,United Kingdom,"
 Contribute to the analysis, design, development and delivery of data migration, data integration and data warehousing projects by performing complex data…",30+ days ago
7,"

        easyJet",Data Analyst,Nothing_found,Luton Airport,"
 Create performance reporting and data product documentation.Improve and standardise analysis, methodology, recording and presenting of data products.",5 days ago
8,"

        Public Sector Resourcing",Policy Advisors x 2,"
                            £300 - £400 a day",London,"
 An awareness of the government’s digital transformation agenda and developments in the use of data in the wider economy and society.Well, you do, and you can.",30+ days ago
9,"

        The Princess Alexandra Hospital NHS Trust",Data Quality Analyst,"
                            £30,401 - £37,267 a year",Harlow CM20,"
 You will be a key individual in the Data Quality team ensuring that critical information systems provide good quality data and compliance with data standards.",3 days ago
10,"

        Bury College",Student Information Administrator (Admissions),"
                            £18,209 - £22,116 a year",Bury,"
 You will collate and analyse data so that reports can be produced and any issues or backlogs identified.You will provide detailed advice, guidance and support…",5 days ago
11,"

        Health Education England",Data & Information Manager,"
                            £44,606 a year",Leeds LS1,"
 The post holder will be responsible for leading on a range of activities that result in the continuous improvement (quality and relevance) of data held on…",5 days ago
12,"

        Joseph Hage Aaronson LLP",Data Administrator,Nothing_found,London,"
 Watching live art auctions and recording the bidding data into the database.Reading, interpreting and uploading data gleaned from current art news into the…",9 days ago
13,"
        Wayhome",Data Scientist,"
                            £70,000 - £80,000 a year",Bank Station,"
 Design, develop and test data-driven products and features.Create and design training data sets, working with our colleagues and partners.We’re in a Wework.",7 days ago
14,"

        Shop Direct",Data Governance Lead,Nothing_found,Liverpool,"
 Monitoring activities on data environment.Running a data stewardship council.Identifying and recruiting appropriate data stewards.What do we look for?",3 days ago
15,"
        AJACO",Assistant Junior Accountant,"
                            £175 a day",London,"
 The ability and experience of using excel to analysis data sets is desirable.Until end of March 2020.SC Check will be required before starting.",4 hours ago
16,"
        Kubrick Group",Data Transformation Evangelist,Nothing_found,Nothing_found,"
 We do this by growing and developing incredibly bright junior professionals into data experts.Many years of solid experience in data transformation roles …",Nothing_found
17,"
        PG",Physiotherapy Assistant - No Experience Neccesary,"
                            £13 an hour",Nothing_found,"
 Attention to detail, ensuring accurate recording of data.We have an opportunity for aPhysiotherapy Assistantto join their team of staff in the Physiotherapy…",Nothing_found
18,"

        Everbridge",Intelligence Analyst,Nothing_found,Nothing_found,"
 During public safety threats such as active shooter situations, terrorist attacks or severe weather conditions, as well as critical business events such as IT…",Nothing_found
0,"

        Civil Service Fast Stream",Fast Stream - Government Social Research Scheme,"
                            £27,000 a year",Nothing_found,"
 Your work might involve developing surveys, analysing data, producing statistics, reviewing existing research evidence and working with other analysts in…",Nothing_found
